"OVRL_HEALTH" "SELFDESC_WEIGHT" "MIN_MOD_PA"
"447" "Very Good" "About the right weight" 300
"448" "Good" "About the right weight" 30
"449" "Fair" "About the right weight" 20
"450" "Very Good" "Slightly overweight" 300
"451" "Fair" "About the right weight" 30
"452" "Excellent" "About the right weight" 120
"453" "Good" "Very overweight" 60
"454" "Good" "About the right weight" 120
"455" "Good" "Slightly underweight" 300
"456" "Good" "About the right weight" 75
"457" "Excellent" "Slightly overweight" 180
"458" "Very Good" "Slightly overweight" 120
"459" "Very Good" "Slightly overweight" 300
"460" "Good" "About the right weight" 0
"461" "Very Good" "Very underweight" 300
"462" "Good" "About the right weight" 600
"463" "Good" "About the right weight" 100
"464" "Good" "Slightly underweight" 700
"465" "Very Good" "Slightly overweight" 60
"466" "Good" "Slightly underweight" 60
"467" "Good" "Slightly overweight" 60
"468" "Good" "Very overweight" 10
"469" "Good" "About the right weight" 60
"470" "Good" "About the right weight" 30
"471" "Very Good" "Slightly underweight" 30
"472" "Very Good" "About the right weight" 60
"473" "Good" "Slightly underweight" 120
"474" "Very Good" "About the right weight" 60
"475" "Good" "About the right weight" 210
"476" "Very Good" "About the right weight" 2
"477" "Fair" "Slightly overweight" 30
"478" "Fair" "Slightly underweight" 120
"479" "Good" "About the right weight" 420
"480" "Very Good" "About the right weight" 60
"481" "Good" "Slightly underweight" 60
"482" "Good" "Slightly overweight" 120
"483" "Good" "About the right weight" 60
"484" "Fair" "Slightly overweight" 360
"485" "Good" "Very overweight" 60
"486" "Very Good" "About the right weight" 500
"487" NA "Slightly overweight" 180
"488" NA "Very overweight" 0
"489" "Good" "Slightly underweight" 90
"490" "Very Good" "About the right weight" 240
"491" "Very Good" "Slightly overweight" 60
"492" "Good" "About the right weight" 180
"493" "Very Good" "About the right weight" 30
"494" "Very Good" "About the right weight" 250
"495" "Very Good" "About the right weight" 60
"496" "Excellent" "About the right weight" 30
"497" "Fair" "Slightly overweight" 240
"498" NA "Slightly overweight" 30
"499" "Good" "Very overweight" 45
"500" "Fair" "Slightly overweight" 30
