"OVRL_HEALTH" "SELFDESC_WEIGHT" "MIN_MOD_PA"
"2148" "Very Good" "Slightly overweight" 150
"2149" "Very Good" "Slightly overweight" 75
"2150" "Fair" "Slightly overweight" 20
"2151" "Very Good" "About the right weight" 700
"2152" "Good" "About the right weight" 120
"2153" "Very Good" "Slightly underweight" 60
"2154" "Fair" "About the right weight" 60
"2155" "Very Good" "About the right weight" 300
"2156" "Very Good" NA NA
"2157" "Good" "Slightly overweight" 45
"2158" "Good" "Slightly underweight" 60
"2159" "Very Good" "About the right weight" 120
"2160" "Good" "Slightly overweight" 45
"2161" "Excellent" "About the right weight" 50
"2162" "Excellent" "Slightly underweight" 90
"2163" "Good" "Slightly overweight" 60
"2164" "Good" "About the right weight" 60
"2165" "Very Good" "About the right weight" 45
"2166" "Very Good" "About the right weight" 150
"2167" "Good" "Slightly underweight" 240
"2168" "Very Good" "About the right weight" 120
"2169" "Very Good" "Slightly underweight" 100
"2170" "Excellent" "About the right weight" 360
"2171" "Very Good" "Slightly underweight" 420
"2172" "Very Good" "Slightly overweight" 7
"2173" "Very Good" "About the right weight" 480
"2174" "Good" "About the right weight" 30
"2175" "Very Good" "About the right weight" 30
"2176" "Excellent" "About the right weight" 50
"2177" "Good" "Slightly underweight" 60
"2178" "Fair" "About the right weight" 300
"2179" "Poor" "Very overweight" 720
"2180" "Fair" "Slightly overweight" 240
"2181" "Very Good" "Slightly overweight" 300
"2182" "Good" "About the right weight" 120
"2183" "Very Good" "About the right weight" 315
"2184" "Very Good" "About the right weight" 240
"2185" "Very Good" "Very overweight" 120
"2186" "Very Good" "About the right weight" 600
"2187" "Very Good" "About the right weight" 240
"2188" "Very Good" "About the right weight" 60
"2189" "Good" "About the right weight" 40
"2190" "Very Good" "About the right weight" 240
"2191" "Good" "Slightly underweight" 120
"2192" "Good" "Slightly overweight" 600
"2193" "Good" "Very overweight" 120
"2194" "Very Good" "About the right weight" 100
"2195" "Very Good" "Slightly overweight" 60
"2196" "Very Good" "Slightly underweight" 360
"2197" "Very Good" "Slightly underweight" 180
"2198" "Good" "About the right weight" 210
"2199" "Fair" "About the right weight" 60
"2200" "Excellent" "Slightly overweight" 60
"2201" "Very Good" "Very overweight" 840
"2202" "Good" "Slightly overweight" 20
"2203" "Very Good" "About the right weight" 30
"2204" "Very Good" "Slightly overweight" 20
"2205" "Very Good" "Very overweight" 50
"2206" "Good" "Slightly overweight" 0
"2207" "Very Good" "Slightly overweight" 240
"2208" "Very Good" "Slightly overweight" 180
"2209" "Good" "About the right weight" 180
"2210" "Good" "Slightly underweight" 180
"2211" "Fair" "Slightly overweight" 840
"2212" "Fair" "Slightly overweight" 60
"2213" "Excellent" "About the right weight" 500
"2214" "Good" "Slightly underweight" 120
"2215" "Very Good" "About the right weight" 60
"2216" "Very Good" "About the right weight" 300
"2217" "Good" "Slightly overweight" 120
"2218" "Good" "About the right weight" 120
"2219" "Excellent" "Slightly overweight" 120
"2220" "Excellent" "About the right weight" 120
"2221" "Good" "About the right weight" 120
"2222" "Good" "About the right weight" 11
"2223" "Very Good" "About the right weight" 120
"2224" "Good" "Slightly overweight" 150
"2225" "Very Good" "About the right weight" 240
"2226" "Fair" "Very overweight" 105
"2227" "Excellent" "Slightly overweight" 1200
"2228" "Very Good" "Slightly overweight" 30
"2229" "Good" "Slightly overweight" 60
"2230" "Fair" "Slightly underweight" 60
"2231" "Good" "About the right weight" 90
"2232" "Good" "About the right weight" 720
"2233" "Very Good" "Slightly overweight" 60
"2234" "Very Good" "About the right weight" 30
"2235" "Good" "Slightly overweight" 120
"2236" "Very Good" "About the right weight" 450
"2237" "Very Good" "About the right weight" 100
"2238" "Good" "Slightly underweight" 240
"2239" "Very Good" "About the right weight" 45
"2240" "Excellent" "About the right weight" 420
"2241" "Poor" "Very underweight" 60
"2242" "Excellent" "Slightly overweight" 120
"2243" "Very Good" "About the right weight" 150
"2244" "Fair" "Slightly overweight" 60
"2245" "Fair" "Slightly underweight" 800
"2246" "Fair" "Slightly overweight" 20
"2247" "Good" "Slightly overweight" 120
"2248" "Good" "About the right weight" 120
"2249" "Good" "About the right weight" 240
"2250" "Very Good" "Slightly underweight" 420
"2251" "Very Good" "About the right weight" 120
"2252" "Very Good" "Slightly overweight" 120
"2253" "Fair" "Slightly overweight" 220
"2254" "Very Good" "About the right weight" 60
"2255" "Good" "About the right weight" 0
"2256" "Fair" "Slightly overweight" 120
"2257" "Excellent" "Slightly overweight" 240
"2258" "Very Good" "Slightly underweight" 60
"2259" "Very Good" "Slightly overweight" 120
"2260" "Excellent" "Slightly underweight" 120
"2261" "Good" "Slightly overweight" 520
"2262" "Good" "About the right weight" 150
"2263" "Excellent" "Slightly overweight" 300
"2264" "Good" "About the right weight" 240
"2265" "Very Good" "Slightly overweight" 600
"2266" "Excellent" "About the right weight" 200
"2267" "Very Good" "Slightly overweight" 100
"2268" "Very Good" "Slightly overweight" 450
"2269" "Very Good" "About the right weight" 100
"2270" "Excellent" "About the right weight" 60
"2271" "Excellent" "About the right weight" 400
"2272" "Good" "Very underweight" 2400
"2273" "Good" "About the right weight" 600
"2274" "Fair" "Slightly overweight" 200
"2275" "Good" "Slightly overweight" 70
"2276" "Good" "Slightly overweight" 120
"2277" "Very Good" "About the right weight" 90
"2278" "Good" "Slightly overweight" 200
"2279" "Excellent" "About the right weight" 90
"2280" "Good" "Slightly overweight" 249
"2281" "Very Good" "About the right weight" 300
"2282" "Good" "About the right weight" 120
"2283" "Very Good" "Slightly underweight" 180
"2284" "Fair" "About the right weight" 75
"2285" "Excellent" "About the right weight" 400
"2286" "Excellent" "Slightly overweight" 120
"2287" "Very Good" "About the right weight" 60
"2288" "Very Good" "About the right weight" 500
"2289" "Excellent" "About the right weight" 300
"2290" "Very Good" "About the right weight" 120
"2291" "Excellent" "About the right weight" 60
"2292" "Very Good" "About the right weight" 230
"2293" "Very Good" "Slightly overweight" 30
"2294" "Good" "Slightly overweight" 115
"2295" "Good" "Slightly underweight" 400
"2296" "Very Good" "Slightly overweight" 30
"2297" "Good" "Slightly overweight" 60
"2298" "Very Good" "Slightly underweight" 10
"2299" "Very Good" "Slightly overweight" 45
"2300" "Very Good" "About the right weight" 500
"2301" "Good" "Slightly overweight" 300
"2302" "Fair" "Very overweight" 180
"2303" "Very Good" "About the right weight" 90
"2304" "Fair" "Very overweight" 120
"2305" "Excellent" "About the right weight" 300
"2306" NA "About the right weight" 900
"2307" "Excellent" "Slightly underweight" 45
"2308" NA "About the right weight" 30
"2309" "Poor" "Very overweight" 60
"2310" "Good" "About the right weight" NA
"2311" "Good" "About the right weight" 70
"2312" "Excellent" "About the right weight" 120
"2313" NA "Slightly overweight" 60
"2314" "Good" "Slightly underweight" 420
"2315" "Very Good" "About the right weight" 180
"2316" "Very Good" "About the right weight" 75
"2317" "Excellent" "About the right weight" 180
"2318" "Very Good" "Slightly underweight" 380
"2319" "Excellent" "Slightly overweight" 120
"2320" "Excellent" "About the right weight" 250
"2321" "Excellent" "Slightly overweight" 20
"2322" "Good" "About the right weight" 30
"2323" "Good" "Slightly overweight" 180
"2324" "Very Good" "Very overweight" 60
"2325" "Good" "Slightly underweight" 120
"2326" "Very Good" "About the right weight" 15
"2327" "Very Good" "Slightly overweight" 180
"2328" "Very Good" "About the right weight" 2100
"2329" "Excellent" "About the right weight" 75
"2330" "Good" "About the right weight" 720
"2331" "Fair" "About the right weight" 60
"2332" "Very Good" "About the right weight" 770
"2333" "Excellent" "About the right weight" 2000
"2334" "Very Good" "Slightly underweight" 240
"2335" "Excellent" "Slightly overweight" 80
"2336" "Very Good" "About the right weight" 120
"2337" "Very Good" "Very overweight" 120
"2338" "Good" "Slightly overweight" 900
"2339" "Very Good" "Slightly underweight" 0
"2340" "Very Good" "About the right weight" 420
"2341" "Very Good" "About the right weight" 150
"2342" "Fair" "Slightly overweight" 0
"2343" "Excellent" "About the right weight" 120
"2344" "Very Good" "About the right weight" 420
"2345" "Very Good" "Slightly overweight" 100
"2346" "Good" "About the right weight" 3000
"2347" "Good" "Slightly overweight" 150
"2348" "Very Good" "Slightly underweight" 180
"2349" "Very Good" "Slightly overweight" 500
"2350" "Fair" "Slightly overweight" 180
"2351" "Very Good" "About the right weight" 150
"2352" "Fair" "Very overweight" 60
"2353" "Good" "Very overweight" 300
"2354" "Good" "Slightly overweight" 120
"2355" "Fair" "Very overweight" 1
"2356" "Very Good" "Slightly overweight" 45
"2357" "Good" "Slightly overweight" 60
"2358" "Very Good" "Slightly underweight" 20
